Name,NetWorth,Age,Country/Territory,Source,Industry
Elon Musk,"$219,000,000,000",50,United States,"Tesla, SpaceX",Automotive
Jeff Bezos,"$171,000,000,000",58,United States,Amazon,Technology
Bernard Arnault & family,"$158,000,000,000",73,France,LVMH,Fashion & Retail
Bill Gates,"$129,000,000,000",66,United States,Microsoft,Technology
Warren Buffett,"$118,000,000,000",91,United States,Berkshire Hathaway,Finance & Investments
Larry Page,"$111,000,000,000",49,United States,Google,Technology
Sergey Brin,"$107,000,000,000",48,United States,Google,Technology
Larry Ellison,"$106,000,000,000",77,United States,software,Technology
Steve Ballmer,"$91,400,000,000",66,United States,Microsoft,Technology
Mukesh Ambani,"$90,700,000,000",64,India,diversified,Diversified
Gautam Adani & family,"$90,000,000,000",59,India,"infrastructure, commodities",Diversified
Michael Bloomberg,"$82,000,000,000",80,United States,Bloomberg LP,Media & Entertainment
Carlos Slim Helu & family,"$81,200,000,000",82,Mexico,telecom,Telecom
Francoise Bettencourt Meyers & family,"$74,800,000,000",68,France,L'Oréal,Fashion & Retail
Mark Zuckerberg,"$67,300,000,000",37,United States,Facebook,Technology
Jim Walton,"$66,200,000,000",73,United States,Walmart,Fashion & Retail
Zhong Shanshan,"$65,700,000,000",67,China,"beverages, pharmaceuticals",Food & Beverage
Alice Walton,"$65,300,000,000",72,United States,Walmart,Fashion & Retail
Rob Walton,"$65,000,000,000",77,United States,Walmart,Fashion & Retail
Changpeng Zhao,"$65,000,000,000",44,Canada,cryptocurrency exchange,Finance & Investments
Charles Koch,"$60,000,000,000",86,United States,Koch Industries,Diversified
Julia Koch & family,"$60,000,000,000",59,United States,Koch Industries,Diversified
Amancio Ortega,"$59,600,000,000",86,Spain,Zara,Fashion & Retail
Michael Dell,"$55,100,000,000",57,United States,Dell computers,Technology
Zhang Yiming,"$50,000,000,000",38,China,TikTok,Media & Entertainment
David Thomson & family,"$49,200,000,000",64,Canada,media,Media & Entertainment
Phil Knight & family,"$47,300,000,000",84,United States,Nike,Fashion & Retail
Dieter Schwarz,"$47,100,000,000",82,Germany,retail,Fashion & Retail
Robin Zeng,"$44,800,000,000",53,Hong Kong,batteries,Automotive
MacKenzie Scott,"$43,600,000,000",51,United States,Amazon,Technology
Rodolphe Saadé & family,"$41,400,000,000",52,France,shipping,Logistics
François Pinault & family,"$40,400,000,000",85,France,luxury goods,Fashion & Retail
Klaus-Michael Kuehne,"$37,300,000,000",84,Germany,shipping,Logistics
Ma Huateng,"$37,200,000,000",50,China,internet media,Technology
Beate Heister & Karl Albrecht Jr. & family,"$36,800,000,000",50,Germany,supermarkets,Fashion & Retail
Giovanni Ferrero,"$36,200,000,000",57,Italy,"Nutella, chocolates",Food & Beverage
Li Ka-shing,"$34,800,000,000",93,Hong Kong,diversified,Diversified
Stephen Schwarzman,"$34,800,000,000",75,United States,investments,Finance & Investments
Lee Shau Kee,"$32,600,000,000",94,Hong Kong,real estate,Real Estate
